Timestamp,What is your age ?,What is are you currently studying ?,What is your average attendance ?,What was your average percentage/CGPA in the last exam ?,How many hour do study on an average day ?, Have you failed any subject in the last academic year ?  ,How interested are you in your current course ?  ,Do financial difficulties affect your education ?  ,How far is your school/college from your home ?  ,Do you have reliable internet access for your studies ?  ,"On average, how many hours do you spend on social media each day ?  ",Which of the following affects your studies the most ?  ,Have you ever missed classes for more than one week continuously ?  ,Have you ever thought about taking a break from your education because of personal or academic difficulties ?  ,What kind of support would help you continue your education ?  
05/07/2026 20:48:41,15 - 17,Intermediate,50 - 74%,60 - 74%,Less than 1 hour,No,2,2,5–10 km,Sometimes,More than 4 hours,Financial problems,Yes,Rarely,Academic tutoring
06/07/2026 18:47:57,Below 15,Diploma,75 - 90%,60 - 74%,3–4 hours,Yes,2,4,5–10 km,Sometimes,More than 4 hours,"Financial problems, Lack of motivation, Academic pressure",No,Often,"Financial assistance, Mental health/counseling support, Better internet access"
06/07/2026 18:49:00,15 - 17,Undergraduate,Above 90%,Above 90%,Less than 1 hour,No,4,3,Less than 2 km,Yes,Less than 1 hour,"Financial problems, Family responsibilities, Health issues, Lack of motivation, Transportation issues, Academic pressure",Yes,Never,"Financial assistance, Academic tutoring, Career guidance, Mental health/counseling support, Better transportation, Better internet access"
06/07/2026 18:49:52,above 20,Postgraduate,Below 50%,Below 60%,More than 4 hours,No,5,5,More than 10 km,No,More than 4 hours,"Lack of motivation, Transportation issues, Academic pressure",No,Often,"Financial assistance, Career guidance, Better internet access"
06/07/2026 18:50:44,18 - 20,Intermediate,75 - 90%,60 - 74%,1–2 hours,No,3,4,More than 10 km,No,3–4 hours,"Financial problems, Health issues, Lack of motivation, Academic pressure",Yes,Rarely,"Academic tutoring, Mental health/counseling support, Better internet access"
06/07/2026 18:51:34,18 - 20,Undergraduate,75 - 90%,60 - 74%,More than 4 hours,No,3,1,More than 10 km,No,More than 4 hours,"Financial problems, Health issues, Transportation issues",No,Rarely,"Financial assistance, Career guidance, Mental health/counseling support, Better internet access"
06/07/2026 18:53:15,Below 15,High School,Above 90%,60 - 74%,1–2 hours,No,3,3,2–5 km,Yes,3–4 hours,"Family responsibilities, Lack of motivation, Academic pressure",Yes,Rarely,"Academic tutoring, Mental health/counseling support, Better internet access"
06/07/2026 18:53:57,15 - 17,Intermediate,75 - 90%,75 - 89%,3–4 hours,Yes,3,3,5–10 km,Sometimes,3–4 hours,"Health issues, Lack of motivation",No,Rarely,"Career guidance, Mental health/counseling support"
06/07/2026 18:54:39,15 - 17,Intermediate,75 - 90%,75 - 89%,1–2 hours,No,2,2,2–5 km,Sometimes,1–2 hours,Family responsibilities,No,Rarely,Academic tutoring
06/07/2026 18:55:14,Below 15,High School,Above 90%,Above 90%,Less than 1 hour,Yes,1,1,Less than 2 km,Yes,Less than 1 hour,Financial problems,Yes,Never,Financial assistance
06/07/2026 18:55:49,18 - 20,Diploma,50 - 74%,60 - 74%,3–4 hours,Yes,3,3,5–10 km,No,3–4 hours,Health issues,Yes,Sometimes,Career guidance
06/07/2026 18:56:29,above 20,Undergraduate,Below 50%,Below 60%,More than 4 hours,No,4,4,More than 10 km,Yes,More than 4 hours,Lack of motivation,No,Often,Mental health/counseling support
06/07/2026 18:57:22,above 20,Undergraduate,Below 50%,Below 60%,More than 4 hours,No,5,5,More than 10 km,Sometimes,More than 4 hours,Transportation issues,No,Often,Better transportation
06/07/2026 18:58:00,18 - 20,Postgraduate,Below 50%,Below 60%,More than 4 hours,No,5,5,More than 10 km,Sometimes,More than 4 hours,Academic pressure,No,Rarely,Better internet access
06/07/2026 18:59:32,above 20,High School,Below 50%,Below 60%,More than 4 hours,No,1,5,More than 10 km,No,More than 4 hours,None,No,Often,Other
06/07/2026 19:00:24,15 - 17,Intermediate,50 - 74%,60 - 74%,More than 4 hours,No,4,4,2–5 km,Sometimes,1–2 hours,"Health issues, Lack of motivation",No,Often,Mental health/counseling support
06/07/2026 19:01:09,above 20,Postgraduate,Below 50%,Below 60%,Less than 1 hour,Yes,4,4,2–5 km,Yes,Less than 1 hour,Family responsibilities,Yes,Never,Financial assistance
